Category,Name,Id
Molecular_function,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Molecular_function,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
Molecular_function,GO:0003677,DNA binding
Molecular_function,GO:0003700,DNA-binding transcription factor activity
Cellular_component,GO:0005634,nucleus
Biological_process,GO:0050829,defense response to Gram-negative bacterium
Biological_process,GO:0006357,regulation of transcription by RNA polymerase II
Biological_process,GO:0060179,male mating behavior
Biological_process,GO:0010468,regulation of gene expression
Biological_process,GO:0045944,positive regulation of transcription by RNA polymerase II
Biological_process,GO:0030182,neuron differentiation
Biological_process,GO:0006355,regulation of DNA-templated transcription
Biological_process,GO:0042427,serotonin biosynthetic process
